"2017.10.04 7pm-",#4OCT17WED,"Jeff Witscher / Eric Frye JAPAN 2017 in KYOTO",http://vg.pe.hu/series/4OCT17WED/,d,link
"2017.10.06 7pm-","┐ィッ于ェ | FICCE","Jeff Witscher / Eric Frye JAPAN 2017 in OSAKA",http://vg.pe.hu/show/ficce/,c,link
"2017.10.08 & 10.09","COOLS | クールス","Jeff Witscher / Eric Frye JAPAN 2017 in TOKYO",http://vg.pe.hu/show/cools/,c,link
"2017.10.31 & 11.10","bastian void / ant'lrd japan tour 2017","TOKYO / KANAZAWA /KYOTO / OSAKA",http://vg.pe.hu/show/bva2017/,c,link
"2017.12.16 - 12.27",01,"by 斎藤玲児, 0100011110001",http://vg.pe.hu/1f/01.html,e,link
"2018.01.12 - 01.24",02,"by Sarah Marshall, Natalia Panzer",http://vg.pe.hu/1f/02.html,e,link
"2018.01.12 - 01.24",03,"by Takamitsu Ohta, Muku Kobayashi, Shoji Funakawa, Soshi Matsunobe",http://vg.pe.hu/1f/03.html,e,link
"2018.02.19 - 02.28",04,"by emeraldclitoris",http://vg.pe.hu/1f/04.html,e,link
"2018.03.05 - 03.18",05,"by Laurel Schwulst, Woopheadclrms",http://vg.pe.hu/1f/05.html,e,link
"2018.03.21 - 04.04",00,"by Nice shop su",http://vg.pe.hu/1f/00.html,e,link
"2018.04.01 5pm-",#1APR18SUN,"by Shoji Funakawa, Gaku Kurokawa, KeitaroTamura, aoi hatsushiba",http://vg.pe.hu/series/1APR18SUN.html,d,link
"2018.04.09 - 04.21","快晴 大阪","organized by nice shop su, Support by LAGON.",http://vg.pe.hu/1f/kaisei.html,b,link
"2018.05.17 - 06.02","快晴 パリ","organized by nice shop su, Support by LAGON.",http://vg.pe.hu/show/kaisei/,b,link
"2018.06.09 - 06.24","快晴 東京","organized by nice shop su, Support by LAGON.",https://www.kg-cornerprinting.com/kaisei-tokyo,b,link
"2018.06.08 - 06.16","die Reihe «Gemini Season» June in Japan 2018","OSAKA / KYOTO / KOBE / TOKYO / OKAZAKI",http://vg.pe.hu/show/agaveexpressionism/,c,link
"2018.06.08 - 06.16","Galaxy Express 555 Japan Tour 2018","NARA / OSAKA / KOBE / TOKYO / OKAZAKI",http://vg.pe.hu/show/555aki/,c,link
"2018.11.02 - 11.16","NEO GAIA PHANTASY","by Equip, R23X, death's dynamic shroud.wmv",http://vg.pe.hu/show/neogaiaphantasy/,c,link
"2019.01.07 - 01.19","TWS 1","by Fumio Kohama, Stefan Alexander, Shintaro Matsuo",http://vg.pe.hu/2f/tws1.html,f,link
"2019.01.18 7pm -","Concert by Sami Elu","Sami Elu（サミエル） 割り箸ピアニスト",https://creative-community.space/pehu/show/011819.html,c,link
"2019.01.26 - 01.27",HF+S1,"by Masami Baba, Nobuto Okawahara, Gaku Kurokawa, Shoji Funakawa",http://vg.pe.hu/2f/hf1.html,f,link
"2019.02.02 7pm -",サウンドチェック,"PA/ACT PULASEI | GUEST ACT DJ方, dinamishaisuke | 録音 千種葉月",https://creative-community.space/pehu/show/020219.html,c,link
"2019.02.04 - 02.16",MS1,"by Isshuumawattetsurai, Mizuho Kuki, Rina Cho",http://vg.pe.hu/2f/ms1.html,f,link
"2019.02.10 5pm-",#10FEB19SUN,"by Gerard Lebik, Takahiro Kawaguchi, Yan Conk / New Smith + Shoji Funakawa, KeitaroTamura",https://creative-community.space/pehu/show/021019.html,d,link
"2019.04.04 - 04.30","Best Friends from France 2019","by Jean-Philippe Bretin, Vanessa Dziuba | Sammy Stein, Séverine Bascouert (L'Institut Sérigraphique)",http://vg.pe.hu/2f/bff.html,f,link
"2019.04.26 7pm-",#26APR19FRI,"by Vid Edda, Soft Items, 中田粥, 米子匡司, 松延総司, 神田聡, 千種葉月",https://creative-community.space/pehu/show/042619.html,d,link
"2019.05.19 5pm-",#19MAY19SUN,"by Tom White, Takamitsu Ohta, Seaketa",https://creative-community.space/pehu/show/051919.html,d,link
"2019.05.27 - 06.08",NS1,"by Nicholas Strobelt, Joseph Torres, Yuu Takamizawa",http://vg.pe.hu/2f/ns1.html,f,link
"2019.06.17 - 06.29",FS1,"by 天気, 🐴",http://vg.pe.hu/2f/fs1.html,f,link
"2019.07.09 8pm-",#9JUL19TUE,"by Luminous Kudler, Jero Route 66",http://vg.pe.hu/2f/luminous_66.html,d,link
"2019.07.19 - 08.13","Green People","by Laurel Schwulst, Elliott Cost",http://vg.pe.hu/2f/greenpeople.html,f,link
