"Super Studio Kitakagaya",osaka,venue,「つくりつづける」ためのアーティスト・スペース,https://ssk-chishima.info/
Pulp,osaka,art,デザイナー、音楽家、特殊漫画家、芸人、など、特定の文脈に縛られることなく様々なアーティストの発表と出会いの場となることを目標とし、国内外のアーティストの作品展やイベントを開催する。,https://pulpspace.org/
pocke,tokyo,curture,"（株）どり−むずかむとぅるーが運営する夢のレンタルスペースです。
表現の場を必要とされる全ての方々に、自由にご利用いただければと思います。",http://pocke.jp/
"toi books",osaka,book,"本屋を＜考えるため／問うため＞の本屋 ",https://mailtotoibooks.wixsite.com/toibooks
"Calo Bookshop & Cafe",osaka,book,"写真集や展覧会カタログだけでなく、コーヒーテーブルブックやアーティストによるハンドメイドZINEなど、見て楽しめる本を多く取り扱っています。
併設するギャラリーでは地元の作家のカジュアルな作品を中心にご紹介しています。",http://www.calobookshop.com/
"gallery TOWED（ギャラリー トウド）",tokyo,art,"「アートを鑑賞すること、または所有すること」の第一歩となるような気軽な場所 でありつつ、アーティストたちの実験の場となるような展示やイベントを企画していきます。 また、都内近郊だけでなく全国各地のアーティストを紹介し、積極的に若手アーティ ストの発掘・育成に貢献したいと思います。",https://gallery-towed.com/
特定非営利活動法人キャズ,osaka,art,CASの基本は非営利のアートスペースです。なぜ非営利が重要なのかというと美術が営利目的になるといろいろなしがらみが発生するからです。CASは美術をそのしがらみから解放したところで出発したいと考えています。そのことにより、作家・キュレーター・鑑賞者や愛好家は自由な環境で美術に参画し、かかわることができます。,http://cas.or.jp/
山中suplex,kansai,art,滋賀県大津市山中町に在するシェアスタジオです。木工、石彫、金属加工の機材を取り揃えております。不定期で半屋外のギャラリーでの展示、イベントなどしております。,https://www.yamanakasuplex.com/
FabLab（ファブラボ）,osaka,venue,"「Fab」とは「Fabrication（ものづくり）」と「Fabulous（素晴らしい）」という２つの意味が込められた造語で、アナログからデジタルまでの様々な機材、 特に3次元プリンタやカッティングマシンといった先端工作機械の普及によって実現される 「パーソナル・ファブリケーション」 （個人的なものづくり、多品種少量生産型デザイン）の可能性を、集う様々な人と共同で開拓していくための実験的な市民工房のネットワークです。",https://fablabkitakagaya.org/
"raw light space",osaka,curture,"照明、家具、骨董品 自転車、リサイクル、リース",https://www.instagram.com/raw_light_space/
ilili,online,curture,ハンドメイドブランドのウェブセレクトショップ,https://ilili.net/
VOILLD,tokyo,art,2014年、東京・中目黒に設立されたアートギャラリーです。,https://www.voilld.com/
"NEW PURE +",osaka,curture,"1階 - Select Shop（常設） / 地下 - Chika No Akichi（展示スペース）
日常生活に可愛くユーモアのある モノ・コトが出会える場を、ささやかに目指します。",
"YAMA STORE",osaka,curture,アパレル・衣料品・雑貨店,https://www.yama-store.com/
"CALM & PUNK GALLERY",tokyo,art,"ガスアズインターフェイス株式会社がプロデュースする新しいギャラリーで、作家と技術者を結びつける接点となるようなプレゼンテーションを行う場所を目指していきます。
インタラクティブアートを中心に、メディアアート・グラフィック・写真・ファッション・映像など、様々な展示表現を行います。",http://calmandpunk.com/
KAYOKOYUKI,tokyo,art,"現代美術を紹介する展覧会やイベントを開催するほか、14年より「NADA Miami」に出展するなど、国内外でアーティストを紹介している。15年、現在の豊島区駒込の木造倉庫にギャラリーを移転。",http://www.kayokoyuki.com/
tata,tokyo,book,"タタは高円寺の路地にある、小さな本屋です。
小さな空間には一般書店ではあまり見ることの少ない、独自の視点で選んだ
国内外のデザイン、アートの本を中心に様々なジャンルの本を扱います。",https://tata-books.com/
のら珈琲,tohoku,venue,自家焙煎珈琲とカセットテープの喫茶店,http://nora-coffee.com/
Lilmag,online,book,"ZINE（ジン）／ミニコミ／アーティストブック
多種多様なインディペンデント・パブリッシング
世界の同人誌・同人誌の世界
アートとサウンド
クラフトとD.I.Y.
……などなどを扱う小さなオンラインショップです。
",http://lilmag.org/
